Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,300,512,0,5362,"1190,00","15,667%","29,83590","36,41","4,08","1249,5"
TOTAL,300,512,0,5362,"1190,00","15,667%","29,83590","36,41","4,08","1249,5"
