Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,4500,58,0,465,"37,81","0,000%","423,37003","516,48","57,88","1249,2"
TOTAL,4500,58,0,465,"37,81","0,000%","423,37003","516,48","57,88","1249,2"
