Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,3,52,0,96,"31,11","0,000%","18,98734","23,19","2,60","1250,7"
TOTAL,3,52,0,96,"31,11","0,000%","18,98734","23,19","2,60","1250,7"
