Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,3000,52,0,345,"31,57","0,000%","296,09159","361,23","40,48","1249,3"
TOTAL,3000,52,0,345,"31,57","0,000%","296,09159","361,23","40,48","1249,3"
