Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,4800,283,0,11326,"1028,07","6,958%","415,44054","506,84","56,80","1249,3"
TOTAL,4800,283,0,11326,"1028,07","6,958%","415,44054","506,84","56,80","1249,3"
