Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - HTTP Request,5100,359,0,130519,"4472,90","23,647%","35,99153","79,92","4,92","2273,9"
TOTAL,5100,359,0,130519,"4472,90","23,647%","35,99153","79,92","4,92","2273,9"
