Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
DELETE - HTTP Request,3,297,0,326,"33,72","0,000%","3,36323","3,40","0,74","1035,7"
TOTAL,3,297,0,326,"33,72","0,000%","3,36323","3,40","0,74","1035,7"
