Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
DELETE - HTTP Request,1500,273,0,1371,"54,93","0,467%","138,87603","136,84","30,65","1009,0"
TOTAL,1500,273,0,1371,"54,93","0,467%","138,87603","136,84","30,65","1009,0"
