Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
DELETE - HTTP Request,14990,1573,0,146046,"4096,30","24,456%","43,37108","43,13","9,55","1018,2"
TOTAL,14990,1573,0,146046,"4096,30","24,456%","43,37108","43,13","9,55","1018,2"
