Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PUT - HTTP Request,6000,297,0,645,"57,64","1,217%","550,15588","551,02","146,14","1025,6"
TOTAL,6000,297,0,645,"57,64","1,217%","550,15588","551,02","146,14","1025,6"
