Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PUT - HTTP Request,1500,267,0,355,"29,57","0,000%","139,01761","139,70","36,93","1029,0"
TOTAL,1500,267,0,355,"29,57","0,000%","139,01761","139,70","36,93","1029,0"
