Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PUT - HTTP Request,3,294,0,330,"27,90","0,000%","3,40136","3,27","0,90","984,3"
TOTAL,3,294,0,330,"27,90","0,000%","3,40136","3,27","0,90","984,3"
