Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PATCH- HTTP Request,3,255,0,286,"22,02","0,000%","3,91134","5,06","0,86","1324,3"
TOTAL,3,255,0,286,"22,02","0,000%","3,91134","5,06","0,86","1324,3"
