Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PATCH- HTTP Request,6000,256,0,674,"30,88","0,767%","558,60721","713,47","122,74","1307,9"
TOTAL,6000,256,0,674,"30,88","0,767%","558,60721","713,47","122,74","1307,9"
