Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PATCH- HTTP Request,1500,261,0,625,"40,26","0,467%","139,91232","178,43","30,74","1305,9"
TOTAL,1500,261,0,625,"40,26","0,467%","139,91232","178,43","30,74","1305,9"
