Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PATCH- HTTP Request,3000,252,0,1393,"38,01","0,500%","273,77259","350,29","60,16","1310,2"
TOTAL,3000,252,0,1393,"38,01","0,500%","273,77259","350,29","60,16","1310,2"
