Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
PATCH- HTTP Request,8910,3639,0,301820,"21385,52","42,121%","29,10728","37,43","6,35","1316,9"
TOTAL,8910,3639,0,301820,"21385,52","42,121%","29,10728","37,43","6,35","1316,9"
