Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,9000,789,0,8268,"1351,67","21,311%","325,16800","366,27","82,24","1153,4"
TOTAL,9000,789,0,8268,"1351,67","21,311%","325,16800","366,27","82,24","1153,4"
