Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,11724,53128,0,1826796,"257105,77","37,385%","6,38885","8,07","1,48","1292,9"
TOTAL,11724,53128,0,1826796,"257105,77","37,385%","6,38885","8,07","1,48","1292,9"
