Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,1500,266,0,378,"29,30","0,000%","138,88889","156,07","35,13","1150,7"
TOTAL,1500,266,0,378,"29,30","0,000%","138,88889","156,07","35,13","1150,7"
