Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,10500,1271,0,15473,"2544,29","22,924%","390,79946","440,90","98,84","1155,3"
TOTAL,10500,1271,0,15473,"2544,29","22,924%","390,79946","440,90","98,84","1155,3"
