Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,3000,265,0,531,"27,90","0,100%","278,08676","314,15","70,34","1156,8"
TOTAL,3000,265,0,531,"27,90","0,100%","278,08676","314,15","70,34","1156,8"
