Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,3,273,0,325,"37,19","0,000%","3,64964","3,98","0,92","1116,7"
TOTAL,3,273,0,325,"37,19","0,000%","3,64964","3,98","0,92","1116,7"
