Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST - HTTP Request,6000,321,0,2683,"178,14","6,617%","510,94269","576,97","129,23","1156,3"
TOTAL,6000,321,0,2683,"178,14","6,617%","510,94269","576,97","129,23","1156,3"
